호선,역명_표준,전체_평균,아침첨두_평균,저녁첨두_평균,최대혼잡시간,군집
8호선,잠실,55.587179487179505,67.7625,93.0875,18시00분,C0: 전일 분산형 · 도심·관광지 (중혼잡)
2호선,역삼,50.656410256410254,61.974999999999994,79.3,18시00분,C0: 전일 분산형 · 도심·관광지 (중혼잡)
8호선,문정,48.184615384615384,73.63749999999999,75.48749999999998,18시00분,C0: 전일 분산형 · 도심·관광지 (중혼잡)
2호선,문래,46.23589743589744,77.3625,65.475,8시00분,C0: 전일 분산형 · 도심·관광지 (중혼잡)
7호선,학동,45.657692307692315,60.46249999999999,69.38749999999999,18시00분,C0: 전일 분산형 · 도심·관광지 (중혼잡)
7호선,강남구청,45.493589743589745,60.55000000000001,68.775,18시00분,C0: 전일 분산형 · 도심·관광지 (중혼잡)
2호선,당산,45.31538461538462,75.03750000000001,63.55,8시00분,C0: 전일 분산형 · 도심·관광지 (중혼잡)
2호선,선릉,45.075641025641026,60.7625,68.4625,18시00분,C0: 전일 분산형 · 도심·관광지 (중혼잡)
7호선,논현,44.17820512820512,58.525000000000006,67.075,18시00분,C0: 전일 분산형 · 도심·관광지 (중혼잡)
2호선,합정,43.54615384615386,72.125,58.875,8시00분,C0: 전일 분산형 · 도심·관광지 (중혼잡)
8호선,석촌,58.54743589743593,94.875,87.2125,18시00분,C1: 출근 집중형 · 주거지·베드타운 (고혼잡)
8호선,송파,58.34615384615383,101.3375,83.36250000000001,8시00분,C1: 출근 집중형 · 주거지·베드타운 (고혼잡)
2호선,사당,54.53461538461537,86.2,72.9875,8시00분,C1: 출근 집중형 · 주거지·베드타운 (고혼잡)
8호선,가락시장,54.15641025641027,90.02499999999999,80.425,18시00분,C1: 출근 집중형 · 주거지·베드타운 (고혼잡)
7호선,어린이대공원,53.67692307692308,80.2,72.73750000000001,8시00분,C1: 출근 집중형 · 주거지·베드타운 (고혼잡)
8호선,몽촌토성,52.610256410256426,86.5125,76.0375,18시00분,C1: 출근 집중형 · 주거지·베드타운 (고혼잡)
7호선,군자,52.29871794871794,82.76249999999999,69.3375,8시00분,C1: 출근 집중형 · 주거지·베드타운 (고혼잡)
2호선,낙성대,51.39102564102564,79.96249999999999,69.7625,8시00분,C1: 출근 집중형 · 주거지·베드타운 (고혼잡)
8호선,강동구청,50.65128205128205,83.6125,71.525,8시00분,C1: 출근 집중형 · 주거지·베드타운 (고혼잡)
7호선,중곡,50.614102564102566,79.78750000000001,67.85000000000001,8시00분,C1: 출근 집중형 · 주거지·베드타운 (고혼잡)
2호선,영등포구청,45.437179487179485,77.26249999999999,64.0875,8시00분,C2: 출근 집중형 · 주거지·베드타운 (중혼잡)
7호선,남성,42.04230769230768,69.25,55.825,8시00분,C2: 출근 집중형 · 주거지·베드타운 (중혼잡)
7호선,철산,41.13076923076923,77.125,57.4875,8시00분,C2: 출근 집중형 · 주거지·베드타운 (중혼잡)
8호선,장지,40.573076923076925,71.4875,57.12500000000001,8시00분,C2: 출근 집중형 · 주거지·베드타운 (중혼잡)
7호선,숭실대입구,39.56794871794872,65.1,52.650000000000006,8시00분,C2: 출근 집중형 · 주거지·베드타운 (중혼잡)
5호선,마포,39.45384615384616,65.9125,59.7625,8시00분,C2: 출근 집중형 · 주거지·베드타운 (중혼잡)
5호선,공덕,38.59358974358976,67.4,54.9125,8시00분,C2: 출근 집중형 · 주거지·베드타운 (중혼잡)
5호선,애오개,37.52948717948719,62.83749999999999,55.3,8시00분,C2: 출근 집중형 · 주거지·베드타운 (중혼잡)
7호선,상도,37.04615384615384,61.974999999999994,49.95,8시00분,C2: 출근 집중형 · 주거지·베드타운 (중혼잡)
7호선,광명사거리,36.28974358974359,69.9625,51.6625,8시00분,C2: 출근 집중형 · 주거지·베드타운 (중혼잡)
2호선,방배,56.27820512820512,81.65,78.66250000000001,18시00분,C3: 전일 분산형 · 도심·관광지 (고혼잡)
2호선,서초,56.158974358974355,79.9,78.8875,18시00분,C3: 전일 분산형 · 도심·관광지 (고혼잡)
2호선,교대,56.08333333333334,78.3375,79.55000000000001,18시00분,C3: 전일 분산형 · 도심·관광지 (고혼잡)
2호선,강남,54.03846153846155,68.55,79.2,18시00분,C3: 전일 분산형 · 도심·관광지 (고혼잡)
4호선,동대문,52.54487179487179,71.7125,70.4625,18시30분,C3: 전일 분산형 · 도심·관광지 (고혼잡)
5호선,길동,51.86666666666667,70.26249999999999,72.0875,17시30분,C3: 전일 분산형 · 도심·관광지 (고혼잡)
4호선,혜화,49.97307692307692,70.5125,66.9375,18시30분,C3: 전일 분산형 · 도심·관광지 (고혼잡)
4호선,동대문역사문화공원,48.280769230769224,58.5,68.5,18시30분,C3: 전일 분산형 · 도심·관광지 (고혼잡)
2호선,신당,48.25,69.575,65.075,8시00분,C3: 전일 분산형 · 도심·관광지 (고혼잡)
2호선,상왕십리,48.153846153846146,68.2375,66.1375,8시00분,C3: 전일 분산형 · 도심·관광지 (고혼잡)
