역명,degree,betweenness,closeness,pagerank,환승역,호선수,혼잡도,군집,z_betweenness,z_pagerank,z_혼잡도,BI_매개혼잡,CHI_영향력혼잡
서울역,0.0125,0.04963389121338921,0.08888888888888889,0.004731381920298239,True,2,34.93589743589743,0,-0.17629006095604624,0.5374296037843604,0.04385109631922582,-0.13243896463682042,0.5812807001035862
시청,0.016666666666666666,0.14189878461844999,0.09036144578313253,0.00593887862655835,True,2,43.4102564102564,0,1.8287172814436983,1.6905976916599543,0.7498937145608183,2.5786109960045165,2.4404914062207728
종각,0.008333333333333333,0.06873148701600579,0.09223674096848578,0.0030674651554677534,False,1,31.67692307692308,0,0.23871957481435083,-1.0516229411510174,-0.22767089090772175,0.011048683906629081,-1.2792938320587393
종로3가,0.025,0.1928320714617786,0.09704811969268096,0.008350886836821638,True,3,44.95256410256412,3,2.9355479547865104,3.9940829776648568,0.878391334794502,3.8139392895810125,4.872474312459358
종로5가,0.008333333333333333,0.04075081357508135,0.0944138473642801,0.0030485187759767916,False,1,32.888461538461534,0,-0.3693281194266944,-1.069716870597357,-0.12673136379148872,-0.49605948321818316,-1.1964482343888456
동대문,0.016666666666666666,0.15171265856412303,0.09764035801464606,0.005849607696027886,True,2,52.54487179487179,3,2.0419824638145774,1.605343307338251,1.5109457047228985,3.552928168537476,3.1162890120611495
신설동,0.016666666666666666,0.08184781164906693,0.09302325581395349,0.006276796766255337,True,2,28.857692307692307,3,0.5237502752686555,2.0133119591131283,-0.462555568292482,0.06119470697617346,1.5507563908206463
제기동,0.008333333333333333,0.01847022979345156,0.08836524300441827,0.0034209071810271823,False,1,26.964102564102568,0,-0.85350723053235,-0.7140832504204278,-0.6203203106741507,-1.4738275412065007,-1.3344035610945784
청량리,0.008333333333333333,0.018975808594009443,0.08885597926693817,0.003446157506574516,False,1,24.28846153846154,1,-0.8425205034049482,-0.6899690068960379,-0.8432417848451349,-1.6857622882500831,-1.5332107917411728
동묘앞,0.0125,0.08543019857873406,0.09342156481121058,0.004835721973853012,True,2,37.82692307692307,0,0.6015990846285273,0.6370751095839232,0.2847173753108737,0.886316459939401,0.9217924848947969
