년월,역명_표준,출근_승차,퇴근_하차,일평균_승차,일평균_하차,호선목록
2015-01-01,가락시장,65253,75653,481634,490222,"3호선,8호선"
2015-01-01,가산디지털단지,41562,75998,1277493,1286646,7호선
2015-01-01,강남,158680,552944,3530237,3601818,2호선
2015-01-01,강남구청,23827,49003,554063,599188,7호선
2015-01-01,강동,149556,98470,601913,505152,5호선
2015-01-01,강동구청,76129,65315,329188,338787,8호선
2015-01-01,강변,263130,303952,1586687,1574352,2호선
2015-01-01,개롱,48238,39890,213773,212496,5호선
2015-01-01,개화산,45477,31433,182882,167157,5호선
2015-01-01,거여,58829,44232,224893,209247,5호선
2015-01-01,건대입구,230199,475903,1941617,2109171,"2호선,7호선"
2015-01-01,경복궁,42433,67787,699289,742318,3호선
2015-01-01,경찰병원,48365,38280,229131,226552,3호선
2015-01-01,고덕,49496,45684,259047,257994,5호선
2015-01-01,고려대,57342,43011,276516,266994,6호선
2015-01-01,고속터미널,121345,372448,2522053,2484591,"3호선,7호선"
2015-01-01,공덕,93762,138141,927336,940463,"5호선,6호선"
2015-01-01,공릉,86733,77875,374921,372228,7호선
2015-01-01,광나루,100049,72966,456887,408300,5호선
2015-01-01,광명사거리,252500,198503,856726,823689,7호선
2015-01-01,광화문,29125,111095,1096431,1141108,5호선
2015-01-01,광흥창,41697,40297,282551,273842,6호선
2015-01-01,교대,95600,206507,1654093,1670393,"2호선,3호선"
2015-01-01,구로디지털단지,364690,342276,1984765,1998025,2호선
2015-01-01,구산,63185,37481,231632,177869,6호선
2015-01-01,구의,181347,150934,741666,730192,2호선
2015-01-01,구파발,164609,88472,501618,400461,3호선
2015-01-01,군자,175176,155923,790224,713744,"5호선,7호선"
2015-01-01,굴포천,67893,61083,251797,259191,7호선
2015-01-01,굽은다리,80172,65483,303913,286214,5호선
2015-01-01,금호,61692,48763,243813,223093,3호선
2015-01-01,길동,55279,55276,236387,251098,5호선
2015-01-01,길음,227345,172166,827117,781123,4호선
2015-01-01,김포공항,14977,28913,255026,227276,5호선
2015-01-01,까치산,291117,219052,920128,874533,5호선
2015-01-01,까치울,46239,34042,155932,139437,7호선
2015-01-01,낙성대,239814,194226,942788,906543,2호선
2015-01-01,남구로,84935,76685,515938,537729,7호선
2015-01-01,남부터미널,74681,152956,1150734,1182829,3호선
2015-01-01,남성,97133,71290,353419,327498,7호선
2015-01-01,남태령,5016,4657,32936,27184,4호선
2015-01-01,남한산성입구,127663,81037,425425,378435,8호선
2015-01-01,내방,48127,55816,434379,449159,7호선
2015-01-01,노원,224172,318687,1432887,1567250,"4호선,7호선"
2015-01-01,녹번,138892,91308,463186,399399,3호선
2015-01-01,녹사평,15485,41487,209836,231526,6호선
2015-01-01,논현,34972,85482,633851,699799,7호선
2015-01-01,단대오거리,105998,79786,381399,358628,8호선
2015-01-01,답십리,129479,97135,514975,474728,5호선
2015-01-01,당고개,108878,77463,411855,386719,4호선
2015-01-01,당산,137270,136754,697684,752400,2호선
2015-01-01,대림,261254,242842,1336784,1373214,"2호선,7호선"
2015-01-01,대청,73165,55055,333256,293209,3호선
2015-01-01,대치,53510,51729,376563,350521,3호선
2015-01-01,대흥,35537,38036,248786,261980,6호선
2015-01-01,도곡,34435,29169,232439,210454,3호선
2015-01-01,도림천,4872,4139,28464,31440,2호선
2015-01-01,도봉산,112993,62476,350230,326499,7호선
2015-01-01,독립문,35881,32530,226087,230000,3호선
2015-01-01,독바위,27592,20504,86467,94793,6호선
2015-01-01,돌곶이,81477,58242,288185,263847,6호선
2015-01-01,동대문,57811,123823,1238981,1327686,"1호선,4호선"
2015-01-01,동대문역사문화공원,44473,162559,1342015,1370501,"2호선,4호선,5호선"
2015-01-01,동대입구,17134,32658,318020,349715,3호선
2015-01-01,동묘앞,37337,53920,565723,578236,"1호선,6호선"
2015-01-01,동작,11758,11012,66583,68255,4호선
2015-01-01,둔촌동,98680,88100,408411,412048,5호선
2015-01-01,디지털미디어시티,113929,85986,456902,498315,6호선
2015-01-01,뚝섬,69097,68004,456503,479098,2호선
2015-01-01,뚝섬유원지,59823,47578,244315,233831,7호선
2015-01-01,마곡,29720,15810,92548,77249,5호선
2015-01-01,마들,124136,79950,376520,344175,7호선
2015-01-01,마장,37484,33242,190622,184235,5호선
2015-01-01,마천,53483,40225,186681,190828,5호선
2015-01-01,마포,58179,75485,432874,455903,5호선
2015-01-01,마포구청,88471,62597,413096,362046,6호선
2015-01-01,망원,70858,75865,362301,386838,6호선
2015-01-01,매봉,37100,41770,366208,348542,3호선
2015-01-01,먹골,85828,70702,325141,313191,7호선
2015-01-01,면목,138099,104237,459753,440114,7호선
2015-01-01,명동,15491,156763,1221459,1333783,4호선
2015-01-01,명일,76917,68630,294703,292738,5호선
2015-01-01,모란,16032,15438,142716,105579,8호선
2015-01-01,목동,151991,145272,591135,617511,5호선
2015-01-01,몽촌토성,25003,30617,199463,212388,8호선
2015-01-01,무악재,37837,29471,135601,132589,3호선
2015-01-01,문래,92533,83564,585927,590420,2호선
2015-01-01,문정,32583,26688,168245,161636,8호선
2015-01-01,미아,143287,108682,581447,532341,4호선
2015-01-01,미아사거리,250943,238773,1047957,1018148,4호선
2015-01-01,반포,23008,23672,196919,185920,7호선
2015-01-01,발산,51230,57819,323376,324484,5호선
2015-01-01,방배,74469,86102,610840,616838,2호선
2015-01-01,방이,35204,38610,220113,222921,5호선
2015-01-01,방화,60564,44879,228133,217578,5호선
2015-01-01,버티고개,13733,12948,74554,73122,6호선
2015-01-01,보라매,53270,50434,293054,292065,7호선
2015-01-01,보문,62701,41951,249408,221254,6호선
2015-01-01,복정,38635,21030,214915,158568,8호선
2015-01-01,봉천,205430,155262,759890,707083,2호선
2015-01-01,봉화산,91741,62889,292078,274554,6호선
2015-01-01,부천시청,74285,79186,364912,370552,7호선
2015-01-01,부천종합운동장,46205,30497,154124,141471,7호선
2015-01-01,부평구청,106732,57348,344570,259591,7호선
2015-01-01,불광,157822,161380,754904,798452,"3호선,6호선"
2015-01-01,사가정,133643,116103,514310,497512,7호선
2015-01-01,사당,390777,532209,2400730,2345591,"2호선,4호선"
2015-01-01,산성,67810,49479,220269,213751,8호선
2015-01-01,삼각지,34581,47282,411886,404273,"4호선,6호선"
2015-01-01,삼산체육관,46022,34099,161479,147498,7호선
2015-01-01,삼성,58957,176747,1972430,2006218,2호선
2015-01-01,상계,200492,138380,685126,615227,4호선
2015-01-01,상도,81228,63686,337496,317909,7호선
2015-01-01,상동,74217,82679,418995,426274,7호선
2015-01-01,상봉,123082,106083,552102,514364,7호선
2015-01-01,상수,29674,75484,304591,348953,6호선
2015-01-01,상왕십리,64292,49984,310032,297816,2호선
2015-01-01,상월곡,56071,36510,190512,171070,6호선
2015-01-01,상일동,129226,75181,383720,321322,5호선
2015-01-01,새절,113181,84332,390323,370209,6호선
2015-01-01,서대문,35933,47025,491235,506188,5호선
2015-01-01,서울대입구,344986,327165,1646581,1620564,2호선
2015-01-01,서울역,190680,328161,2482406,2494488,"1호선,4호선"
2015-01-01,서초,43550,67592,690565,705721,2호선
2015-01-01,석계,116375,99306,406447,406561,6호선
2015-01-01,석촌,57319,55065,290726,305546,8호선
2015-01-01,선릉,73081,134686,1779430,1551618,2호선
2015-01-01,성수,61815,76288,749955,816593,2호선
2015-01-01,성신여대입구,135661,144709,777749,718800,4호선
2015-01-01,송정,70505,64808,322701,317092,5호선
2015-01-01,송파,27549,26645,161319,163026,8호선
2015-01-01,수락산,113709,90759,449934,433069,7호선
2015-01-01,수서,68577,64900,377439,387108,3호선
2015-01-01,수유,337917,303199,1388540,1350566,4호선
2015-01-01,수진,33592,28006,160053,147955,8호선
2015-01-01,숙대입구,52850,75559,498874,491614,4호선
2015-01-01,숭실대입구,105855,88093,432402,420713,7호선
2015-01-01,시청,30998,94309,1522136,1496974,"1호선,2호선"
2015-01-01,신금호,37185,33787,158903,161333,5호선
2015-01-01,신길,21362,17175,88478,101243,5호선
2015-01-01,신답,12864,12068,39651,45699,2호선
2015-01-01,신당,79439,114100,706990,736423,"2호선,6호선"
2015-01-01,신대방,231751,172532,844486,811582,2호선
2015-01-01,신대방삼거리,126022,99953,485666,462876,7호선
2015-01-01,신도림,351336,403204,2044253,2022323,2호선
2015-01-01,신림,598709,540019,2278447,2236704,2호선
2015-01-01,신사,39206,162472,1012714,1093871,3호선
2015-01-01,신설동,61311,66754,640378,619709,"1호선,2호선"
2015-01-01,신용산,25262,48332,408120,435175,4호선
2015-01-01,신정,157232,84922,435569,352639,5호선
2015-01-01,신정네거리,100159,81035,332475,331793,2호선
2015-01-01,신중동,86482,84622,419477,416980,7호선
2015-01-01,신천,166238,193136,845778,828970,2호선
2015-01-01,신촌,120365,302927,1631083,1661471,2호선
2015-01-01,신풍,92561,73998,367918,350018,7호선
2015-01-01,신흥,37673,36910,169629,174594,8호선
2015-01-01,쌍문,309301,211530,1046384,901462,4호선
2015-01-01,아차산,104208,85586,445736,422384,5호선
2015-01-01,아현,49507,43920,265976,253203,2호선
2015-01-01,안국,19213,55886,807845,879581,3호선
2015-01-01,안암,26128,52467,360964,367586,6호선
