호선,역명_표준,5시30분,6시00분,6시30분,7시00분,7시30분,8시00분,8시30분,9시00분,9시30분,10시00분,10시30분,11시00분,11시30분,12시00분,12시30분,13시00분,13시30분,14시00분,14시30분,15시00분,15시30분,16시00분,16시30분,17시00분,17시30분,18시00분,18시30분,19시00분,19시30분,20시00분,20시30분,21시00분,21시30분,22시00분,22시30분,23시00분,23시30분,00시00분,00시30분,아침첨두_평균,저녁첨두_평균,낮시간_평균,전체_평균,최대혼잡도,최대혼잡시간,첨두_집중도
1호선,동대문,8.125,10.7,9.25,8.55,13.649999999999999,14.625,21.15,23.975,30.900000000000002,31.225,32.375,31.8,30.75,37.325,39.35,39.625,39.5,41.175,41.7,38.85,42.625,37.475,39.1,35.75,37.225,32.975,24.3,25.05,21.5,21.275,21.375,25.2,20.525,18.425,16.975,18.3,11.475,11.425,0.0,18.35,25.95625,38.95,25.78397435897436,42.625,15시30분,1.1375160170085747
1호선,동묘앞,10.525,8.95,9.075,8.4,14.025,15.350000000000001,18.9,23.325000000000003,30.0,29.75,30.775,29.725,28.975,33.675,36.525000000000006,35.85,38.45,38.7,38.45,35.625,38.35,36.175,38.15,30.525,36.25,27.975,24.674999999999997,23.425,20.475,19.975,20.275,23.15,18.325,17.05,14.775,16.35,11.375,6.8,0.0,17.9,24.137500000000003,36.125,24.0801282051282,38.7,14시00분,1.1636677878569472
1호선,서울역,7.8,12.625,10.1,9.3,10.925,15.275,20.725,22.85,29.625,34.825,33.8,32.375,38.95,38.35,40.825,41.35,40.95,43.0,43.0,44.675,45.05,44.95,43.65,37.0,42.125,40.1,28.65,33.15,26.45,27.975,27.375,25.1,24.875,23.75,19.175,17.55,10.275,10.7,0.0,17.44375,32.0875,40.368750000000006,28.185256410256414,45.05,15시30분,1.2269700888194435
1호선,시청,6.675,10.5,8.85,8.725,11.2,13.475,18.875,22.05,28.375,29.7,31.8,28.7,33.225,37.025,37.375,37.8,38.974999999999994,41.725,41.575,41.825,43.0,40.8,41.875,34.650000000000006,39.175,37.325,26.5,30.375,26.225,25.025,23.6,25.5,23.175,20.924999999999997,18.225,18.25,10.549999999999999,15.2,0.0,16.4,30.106250000000003,37.79375,26.3801282051282,43.0,15시30분,1.230527501755515
1호선,신설동,12.5,10.45,9.15,9.45,12.15,17.425,18.4,22.475,26.75,30.75,26.375,26.975,25.549999999999997,32.1,35.725,30.2,33.925,35.775,36.325,36.925,34.325,31.2,32.875,33.5,32.625,25.25,25.55,22.525,18.95,20.349999999999998,16.900000000000002,18.875,15.9,20.825,16.15,14.850000000000001,10.625,12.7,0.0,17.6125,23.068749999999998,32.9875,22.90641025641026,36.925,15시00분,1.233232247571588
1호선,제기동,12.15,9.95,7.5,9.65,11.1,17.475,17.95,19.7,24.1,27.799999999999997,24.700000000000003,24.25,23.875,28.5,32.125,28.2,29.475,31.575,33.45,30.2,33.775,29.875,30.125,31.45,30.349999999999998,24.675,21.525,23.025,18.25,20.975,16.0,18.075,15.45,18.5,16.875,14.024999999999999,10.925,11.649999999999999,0.0,16.556250000000002,21.86875,29.575000000000003,21.262820512820515,33.775,15시30분,1.2992391783858264
1호선,종각,6.65,10.15,7.825,8.775,10.475,12.425,18.75,21.75,27.05,28.625,31.674999999999997,27.525,31.05,35.975,34.525,37.875,37.225,40.35,39.725,41.65,43.225,38.35,40.15,34.925,36.85,36.975,25.975,29.025,26.075,24.125,23.275,25.35,24.1,21.3,18.525,18.15,10.725,14.75,0.0,15.85,29.5125,36.4,25.68974358974359,43.225,15시30분,1.2462224932356458
1호선,종로3가,6.625,10.575,8.9,9.775,11.475,13.15,20.174999999999997,23.25,27.95,30.0,32.45,29.3,33.4,36.525,36.7,40.1,35.85,42.4,40.85,43.8,42.275,37.8,40.0,36.975,36.9,35.75,26.125,27.5,25.425,22.125,24.375,25.75,21.875,20.775,18.6,18.4,11.65,15.375,0.0,17.0125,28.7,37.293749999999996,26.177564102564098,43.8,15시00분,1.2257415458155445
1호선,종로5가,7.125,11.175,8.200000000000001,9.775,12.0,14.225000000000001,21.15,22.95,31.775,31.725,33.25,31.525000000000002,31.625,37.85,39.775,41.900000000000006,37.474999999999994,44.3,43.025,43.224999999999994,44.425,37.625,42.15,36.125,39.675,34.475,25.95,27.4,23.25,20.9,24.075000000000003,25.6,21.05,19.575,17.025,17.975,10.975,10.975000000000001,0.0,17.58125,27.768749999999997,39.25,26.494230769230764,44.425,15시30분,1.1554139833015544
1호선,청량리,10.425,9.925,6.15,8.775,10.375,13.975,17.375,18.05,21.85,23.65,19.775000000000002,20.724999999999998,21.35,25.099999999999998,25.875,24.8,26.15,26.575000000000003,27.2,26.275000000000002,30.375,25.825,25.85,27.175,28.474999999999998,20.400000000000002,20.075,20.275,16.2,17.125,15.6,16.900000000000002,14.075,15.975,15.3,13.2,10.875,6.6,0.0,14.943750000000001,19.2375,25.481249999999996,18.58141025641026,30.375,15시30분,1.3414274675917603
