호선,역명_표준,5시30분,6시00분,6시30분,7시00분,7시30분,8시00분,8시30분,9시00분,9시30분,10시00분,10시30분,11시00분,11시30분,12시00분,12시30분,13시00분,13시30분,14시00분,14시30분,15시00분,15시30분,16시00분,16시30분,17시00분,17시30분,18시00분,18시30분,19시00분,19시30분,20시00분,20시30분,21시00분,21시30분,22시00분,22시30분,23시00분,23시30분,00시00분,00시30분,아침첨두_평균,저녁첨두_평균,낮시간_평균,전체_평균,최대혼잡도,최대혼잡시간,첨두_집중도
1호선,동대문,10.15,14.95,16.3,31.099999999999998,47.8,57.35,53.8,47.45,35.35,33.6,30.4,32.25,25.549999999999997,32.45,34.05,35.05,32.25,30.650000000000002,32.25,36.599999999999994,39.85,35.0,38.650000000000006,43.15,47.75,67.65,56.300000000000004,34.7,27.0,25.450000000000003,25.950000000000003,29.45,24.65,24.85,19.65,19.9,12.05,8.4,1.55,51.599999999999994,46.41250000000001,33.45,32.08461538461539,67.65,18시00분,2.9301194938678776
1호선,동묘앞,10.15,14.65,17.25,30.0,46.75,57.15,46.949999999999996,39.2,36.9,31.85,28.2,30.15,24.05,30.35,31.3,33.3,31.0,28.049999999999997,31.8,35.15,35.599999999999994,35.3,35.55,39.75,47.25,60.4,53.45,32.45,24.95,23.450000000000003,24.05,29.7,21.6,22.4,17.8,18.0,11.05,6.85,0.3,47.5125,42.8125,31.4875,30.105128205128203,60.4,18시00분,2.868598559155266
1호선,서울역,9.6,15.899999999999999,20.45,33.0,54.7,62.0,58.35,46.150000000000006,45.25,34.0,32.4,30.099999999999998,29.65,30.25,37.2,35.9,32.95,33.849999999999994,29.25,37.55,43.55,39.45,44.150000000000006,48.5,57.849999999999994,87.85,56.05,38.849999999999994,32.6,30.75,29.5,31.65,26.5,28.0,23.5,16.35,11.0,7.25,0.65,55.300000000000004,53.83749999999999,34.075,34.93589743589743,87.85,18시00분,3.202861241295341
1호선,시청,7.65,12.600000000000001,18.3,28.35,44.3,51.05,41.9,39.5,38.4,31.450000000000003,30.5,29.299999999999997,27.6,29.6,34.4,34.1,30.549999999999997,32.5,31.049999999999997,36.65,43.15,37.65,40.8,50.0,56.7,87.94999999999999,65.15,38.55,32.55,31.0,29.950000000000003,33.2,25.0,27.6,23.15,16.9,10.95,6.25,0.8500000000000001,44.1875,56.05,32.162499999999994,33.00256410256411,87.94999999999999,18시00분,3.1165953170121945
1호선,신설동,14.2,18.950000000000003,20.15,27.65,43.949999999999996,50.75,42.25,37.05,35.55,28.7,26.4,27.75,24.25,27.8,29.9,30.15,29.849999999999998,25.3,29.4,32.2,33.9,33.400000000000006,40.8,38.05,46.65,57.599999999999994,49.0,32.85,25.549999999999997,23.55,20.25,26.25,19.9,20.65,18.7,16.65,11.75,7.449999999999999,0.3,43.5,41.25,29.424999999999997,28.857692307692307,57.599999999999994,18시00분,2.8802038103584096
1호선,제기동,14.200000000000001,16.95,17.349999999999998,28.15,41.699999999999996,46.2,40.75,34.45,31.7,26.55,23.4,24.549999999999997,22.1,25.05,26.7,26.9,26.45,23.05,28.5,29.2,30.950000000000003,31.45,35.5,37.95,42.4,55.65,48.3,31.950000000000003,24.1,22.75,19.25,24.8,19.7,18.5,18.2,16.85,11.85,7.300000000000001,0.25,40.775000000000006,39.99999999999999,26.275000000000002,26.964102564102568,55.65,18시00분,3.074214916300098
1호선,종각,8.149999999999999,12.100000000000001,15.05,25.2,41.15,44.6,38.0,35.150000000000006,33.6,29.9,29.700000000000003,26.95,27.65,28.9,32.7,31.9,32.1,33.0,31.5,37.95,40.8,37.2,39.05,49.2,54.7,83.2,60.0,37.15,31.450000000000003,30.400000000000002,30.35,33.15,25.15,27.549999999999997,23.8,18.8,10.9,6.45,0.85,39.725,52.95,31.4,31.676923076923078,83.2,18시00분,2.9514330270244264
1호선,종로3가,8.399999999999999,13.45,17.0,28.0,50.3,55.0,52.75,42.65,38.2,31.85,31.700000000000003,29.7,28.950000000000003,29.549999999999997,35.9,33.15,32.5,33.2,32.9,37.6,41.650000000000006,34.65,40.45,44.15,51.8,74.5,56.6,35.75,28.4,27.950000000000003,26.3,31.75,22.7,25.4,23.4,18.65,10.95,6.1,0.8999999999999999,50.175000000000004,48.8125,32.775,32.43076923076924,74.5,18시00분,3.0202134852719005
1호선,종로5가,8.75,14.3,16.0,30.25,46.7,56.150000000000006,49.199999999999996,45.85,34.7,33.15,30.15,31.25,26.55,34.25,33.5,35.1,32.85,34.25,34.3,38.7,44.25,35.55,41.6,43.75,53.85,73.0,60.05,37.4,28.5,27.3,28.1,30.85,25.95,26.05,20.7,18.7,11.2,8.2,1.7000000000000002,49.475,49.737500000000004,33.925,32.888461538461534,73.0,18시00분,2.924465647031227
1호선,청량리,12.05,20.0,16.55,28.549999999999997,41.05,43.75,37.65,31.450000000000003,26.2,26.900000000000002,21.5,19.450000000000003,20.75,22.3,21.299999999999997,25.15,22.25,19.75,22.450000000000003,25.8,27.35,29.700000000000003,30.15,32.7,36.8,48.95,41.45,29.8,21.85,19.5,19.25,21.4,18.1,16.6,16.3,15.5,10.7,6.2,0.1,38.474999999999994,35.5125,22.75,24.28846153846154,48.95,18시00분,3.2521976592440587
2호선,강남,40.650000000000006,26.799999999999997,33.9,47.95,61.5,75.5,72.4,64.8,53.7,43.650000000000006,44.8,37.45,41.25,47.25,43.3,46.4,50.55,45.05,49.5,58.75,59.099999999999994,65.75,69.4,88.65,88.15,103.1,87.55000000000001,72.4,53.75,55.2,51.25,61.0,71.9,67.45,42.45,38.55,20.8,17.6,8.3,68.55,79.2,46.875,54.03846153846155,103.1,18시00분,3.151999932757335
2호선,강변,16.75,18.5,20.4,32.7,43.25,59.45,46.85,37.5,35.45,25.349999999999998,23.25,31.650000000000002,25.799999999999997,28.0,32.0,27.85,30.75,29.55,29.950000000000003,33.85,37.3,37.0,39.849999999999994,48.25,43.150000000000006,51.85,56.8,38.5,28.65,30.85,26.85,33.150000000000006,36.55,34.55,23.3,17.049999999999997,15.45,11.1,6.5,46.7625,43.95,29.65,31.93717948717948,59.45,8시00분,3.059443404403258
2호선,건대입구,20.5,23.3,22.35,34.75,49.650000000000006,64.3,55.35,37.55,38.1,25.4,26.45,32.55,28.0,31.7,34.3,31.299999999999997,33.8,32.55,32.400000000000006,36.25,38.15,40.0,42.45,44.8,46.55,51.150000000000006,52.65,36.05,28.15,29.049999999999997,28.15,35.6,37.85,34.25,26.7,18.4,16.3,11.8,7.15,51.712500000000006,42.00000000000001,32.775,33.73717948717948,64.3,8시00분,2.8592676473144887
2호선,교대,48.7,30.95,39.1,58.65,69.5,84.95,81.25,77.65,59.65,48.85,51.05,37.599999999999994,43.099999999999994,45.95,43.4,47.7,50.75,46.45,51.0,59.05,59.25,64.25,69.1,84.80000000000001,89.3,99.7,91.95,71.65,54.900000000000006,55.2,50.6,58.85,69.45,65.3,43.6,37.0,20.35,17.65,9.05,78.3375,79.55000000000001,46.95,56.08333333333334,99.7,18시00분,3.3628859773613216
2호선,구로디지털단지,50.1,34.95,33.85,47.8,60.45,73.2,58.650000000000006,52.9,34.150000000000006,32.25,31.549999999999997,27.700000000000003,30.05,33.65,34.95,38.55,33.5,34.5,34.65,37.900000000000006,42.45,48.75,47.75,55.449999999999996,64.85,77.2,73.9,52.3,42.65,34.400000000000006,37.25,43.150000000000006,41.75,46.85,38.95,30.400000000000002,23.55,17.3,10.15,61.300000000000004,61.51250000000001,35.162499999999994,42.162820512820524,77.2,18시00분,3.492712307352655
2호선,구의,20.55,20.3,20.950000000000003,34.2,45.25,61.3,47.5,37.099999999999994,36.5,23.85,24.55,32.05,26.15,28.9,33.05,29.45,31.45,31.15,30.95,35.35,37.45,38.9,42.2,46.95,43.8,54.400000000000006,54.9,36.85,28.4,30.65,26.700000000000003,33.5,35.849999999999994,33.3,25.35,16.85,14.850000000000001,10.75,6.0,47.7875,43.6375,30.7125,32.51794871794871,61.3,8시00분,2.9768008798762438
2호선,까치산,5.2,6.7,11.45,15.95,29.05,29.1,18.95,13.25,9.0,6.05,6.35,5.15,5.6,6.1,5.3,5.6,5.5,4.95,5.85,6.3,6.6,7.95,8.35,12.0,15.25,18.9,15.15,12.0,7.2,6.65,6.15,5.7,4.65,4.4,4.2,3.05,1.2,0.45,0.2,22.587500000000002,13.3125,5.625,8.7551282051282,29.1,8시00분,6.38222108760514
2호선,낙성대,50.25,38.4,42.45,61.75,73.45,88.44999999999999,80.9,77.05,43.099999999999994,44.400000000000006,44.3,32.0,38.45,42.25,39.3,44.150000000000006,42.9,40.55,41.400000000000006,50.2,52.4,56.6,61.05,65.7,77.9,81.95,80.05,66.95,50.1,41.65,50.05,52.2,57.849999999999994,58.8,47.900000000000006,37.3,22.65,17.25,10.2,79.96249999999999,69.7625,42.15,51.39102564102564,88.44999999999999,8시00분,3.55219445902267
2호선,당산,23.15,31.5,31.5,45.75,75.80000000000001,97.0,72.15,55.2,39.3,34.400000000000006,36.3,34.1,37.65,36.95,39.0,42.2,38.25,36.099999999999994,39.65,38.7,39.35,50.35,54.2,60.45,61.4,77.7,84.30000000000001,52.85,39.35,35.7,51.65,46.25,40.25,59.15,42.3,42.35,20.7,16.55,7.8,75.03750000000001,63.55,39.1,45.31538461538462,97.0,8시00분,3.544437249502884
2호선,대림,58.9,41.35,35.3,50.0,63.5,82.7,69.45,57.45,39.05,33.7,35.1,29.45,31.65,35.849999999999994,36.05,41.25,34.9,36.05,36.75,39.7,43.05,48.9,48.65,56.15,65.25,75.45,76.6,51.3,43.65,34.35,37.95,44.25,42.0,47.7,39.95,30.7,24.9,21.3,11.15,68.27499999999999,61.75000000000001,37.012499999999996,44.394871794871804,82.7,8시00분,3.513002269152253
2호선,도림천,17.05,20.65,33.9,42.4,69.9,71.65,55.599999999999994,38.7,26.75,19.0,18.5,16.1,17.05,15.950000000000001,17.45,17.55,17.450000000000003,17.0,16.5,19.65,22.45,24.65,28.8,33.1,46.6,61.2,68.15,46.75,34.599999999999994,27.400000000000002,22.400000000000002,22.5,21.55,19.6,20.95,14.649999999999999,10.0,4.4,2.45,58.962500000000006,52.675000000000004,17.1,28.230769230769237,71.65,8시00분,6.528508390145708
2호선,동대문역사문화공원,16.8,29.65,26.5,52.900000000000006,68.35,86.85,69.55,48.849999999999994,46.25,32.6,38.8,43.35,41.3,41.8,44.95,47.650000000000006,43.9,44.05,43.8,47.400000000000006,49.9,50.35,60.2,69.0,68.1,79.8,73.25,49.25,36.599999999999994,41.400000000000006,35.9,39.650000000000006,45.1,45.0,41.45,26.5,24.5,13.8,6.9,68.4,59.725,44.575,45.43461538461538,86.85,8시00분,2.8743689764583515
2호선,뚝섬,13.850000000000001,19.45,17.200000000000003,34.25,36.849999999999994,53.849999999999994,44.4,31.7,31.9,23.549999999999997,29.45,33.3,30.9,33.650000000000006,36.650000000000006,35.15,35.7,36.900000000000006,37.45,40.2,45.35,40.65,49.099999999999994,54.65,57.349999999999994,69.4,63.650000000000006,45.35,33.5,43.65,30.3,34.4,43.2,35.6,29.5,20.85,17.950000000000003,10.7,4.25,41.699999999999996,52.975,35.28750000000001,35.532051282051285,69.4,18시00분,2.682961312562201
